id,genero,roles_nucleo,cantidad_estudios,orientacion_software,anios_estudio,rol_ocupacional,grupo_ocupacional,anios_laborales,periodos_desempleo,tiempo_desempleo,cantidad_puestos_total,cantidad_empresas_total,movilidad,reporta_ingles,rango_habilidades,rango_herramientas,caracteres_descripcion
426,0,0,1,0,4.9,Administración,Decisión y apoyo,21.3,1,> 1 año,10,6,0.5,1,20 a 24,1 a 4,0
427,1,0,3,0,9,Administración,Decisión y apoyo,20.5,2,> 1 año,6,6,0.3,1,20 a 24,1 a 4,1110
428,0,0,3,0,10.8,Administración,Decisión y apoyo,17.4,1,> 1 año,11,6,0.6,1,20 a 24,0,603
429,1,0,2,0,5.9,Administración,Decisión y apoyo,10,2,> 1 año,9,7,0.9,1,15 a 19,1 a 4,648
430,0,0,0,0,0,Administración,Decisión y apoyo,12.4,1,1 a 3,6,3,0.5,0,15 a 19,1 a 4,0
431,0,0,2,0,8.5,Administración,Decisión y apoyo,6.8,1,7 a 12,3,3,0.4,1,10 a 14,1 a 4,0
432,1,0,2,0,4.8,Administración,Decisión y apoyo,23.7,0,0,11,4,0.5,0,25 o más,10 a 14,0
433,0,0,0,0,0,Administración,Decisión y apoyo,17.4,2,7 a 12,4,4,0.2,1,20 a 24,1 a 4,344
434,0,0,3,0,5.9,Administración,Decisión y apoyo,11.7,1,7 a 12,4,4,0.3,0,10 a 14,1 a 4,332
435,0,0,0,0,0,Administración,Decisión y apoyo,10.7,2,> 1 año,6,5,0.6,1,20 a 24,5 a 9,0
436,0,0,5,0,5.9,Administración,Decisión y apoyo,12.4,0,0,7,6,0.6,1,20 a 24,1 a 4,0
437,0,0,3,0,5.8,Administración,Decisión y apoyo,10.5,3,> 1 año,6,5,0.6,1,20 a 24,1 a 4,0
438,0,0,0,0,0,Administración,Decisión y apoyo,18.7,0,0,7,7,0.4,0,5 a 9,0,0
439,1,0,1,0,0,Administración,Decisión y apoyo,24.7,1,> 1 año,8,7,0.3,0,20 a 24,1 a 4,821
440,0,0,10,0,18.2,Administración,Decisión y apoyo,16.2,1,7 a 12,3,3,0.2,1,25 o más,1 a 4,503
441,0,0,2,0,9.8,Administración,Decisión y apoyo,5.4,0,0,3,3,0.6,0,5 a 9,1 a 4,0
442,1,0,2,0,2.9,Administración,Decisión y apoyo,14.6,0,0,2,2,0.1,0,10 a 14,1 a 4,0
443,0,0,1,0,7.9,Administración,Decisión y apoyo,7.3,1,1 a 3,5,4,0.7,1,10 a 14,1 a 4,0
444,0,0,1,0,8.9,Administración,Decisión y apoyo,7.8,0,0,3,3,0.4,0,5 a 9,1 a 4,0
445,1,0,1,0,0,Administración,Decisión y apoyo,8.4,0,0,2,2,0.2,0,15 a 19,1 a 4,0
446,0,0,1,0,4.9,Administración,Decisión y apoyo,13.2,3,> 1 año,8,7,0.6,1,0,0,0
447,0,0,1,0,0,Administración,Decisión y apoyo,11.1,0,0,2,2,0.2,0,1 a 4,0,0
448,0,0,1,0,4.9,Administración,Decisión y apoyo,15.4,4,> 1 año,6,6,0.4,0,20 a 24,1 a 4,0
449,0,0,2,0,13.7,Administración,Decisión y apoyo,5.8,1,7 a 12,4,2,0.7,0,5 a 9,0,0
450,1,0,4,0,6.7,Administración,Decisión y apoyo,28.7,0,0,16,15,0.6,1,20 a 24,1 a 4,1079
451,1,0,1,0,6.9,Administración,Decisión y apoyo,10.2,0,0,9,3,0.9,0,15 a 19,0,0
452,1,0,2,0,1.8,Administración,Decisión y apoyo,15.5,1,1 a 3,8,5,0.5,1,20 a 24,1 a 4,0
453,0,0,2,0,0.2,Administración,Decisión y apoyo,8.7,0,0,3,2,0.3,1,10 a 14,1 a 4,0
454,1,0,2,0,6.8,Administración,Decisión y apoyo,15.5,0,0,21,20,1.4,1,20 a 24,1 a 4,0
455,0,0,1,0,7.9,Administración,Decisión y apoyo,10.4,1,7 a 12,3,3,0.3,1,10 a 14,1 a 4,0
456,1,0,5,0,15.2,Administración,Decisión y apoyo,11.3,2,> 1 año,9,5,0.8,1,5 a 9,1 a 4,0
457,1,0,1,0,0,Administración,Decisión y apoyo,7.8,0,0,3,2,0.4,1,10 a 14,5 a 9,0
458,1,0,5,0,0,Administración,Decisión y apoyo,27.4,2,> 1 año,4,4,0.1,0,10 a 14,1 a 4,0
459,0,0,1,0,3,Administración,Decisión y apoyo,4.7,1,1 a 3,2,2,0.4,0,15 a 19,1 a 4,1454
460,1,0,0,0,0,Administración,Decisión y apoyo,13.5,1,7 a 12,10,7,0.7,0,5 a 9,1 a 4,0
461,1,0,0,0,0,Administración,Decisión y apoyo,3.8,0,0,1,1,0.3,0,10 a 14,0,0
462,1,0,1,0,4.9,Administración,Decisión y apoyo,23.6,3,> 1 año,5,5,0.2,0,10 a 14,1 a 4,0
463,0,0,2,0,4.8,Administración,Decisión y apoyo,3.4,0,0,2,1,0.6,0,1 a 4,1 a 4,0
464,0,0,1,0,5.9,Administración,Decisión y apoyo,1.5,0,0,3,2,2,0,5 a 9,0,0
465,0,0,2,0,20.3,Administración,Decisión y apoyo,17.5,2,> 1 año,6,6,0.3,0,10 a 14,1 a 4,0
466,0,0,4,0,0,Administración,Decisión y apoyo,7.7,0,0,9,8,1.2,0,20 a 24,0,489
